Game-Phase,Tournament,Phase,Final VOD URL
GBVS - SA/SUD - (PC-Steam)-Full Tourney,GBVS - SA/SUD - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=rCqdqjTus7M
GGACPR - EU - (PC-Steam)-Full Tourney,GGACPR - EU - (PC-Steam),Full Tourney,https://youtu.be/v-GfASyYyQQ
GGACPR - EU - (PC-Steam)-Top 24,GGACPR - EU - (PC-Steam),Top 24,https://youtu.be/v-GfASyYyQQ
GGACPR - JP - (PC-Steam)-Full Tourney,GGACPR - JP - (PC-Steam),Full Tourney,https://youtu.be/g1OSW5CruFU
GGACPR - NA - (PC-Steam)-Full Tourney,GGACPR - NA - (PC-Steam),Full Tourney,https://youtu.be/Z5sZHO-itGM
GGACPR - OCE - (PC-Steam)-Full Tourney,GGACPR - OCE - (PC-Steam),Full Tourney,https://youtu.be/FHDAl1sQSaA
GGACPR - SA/BR - (PC-Steam)-Full Tourney,GGACPR - SA/BR - (PC-Steam),Full Tourney,"https://www.twitch.tv/videos/1749994669
https://www.youtube.com/watch?v=vh97l6iZv6c&ab_channel=BOBLEIS
"
GGACPR - SA/SUD - (PC-Steam)-Full Tourney,GGACPR - SA/SUD - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1734574794
GGACPR - SA/SUD - (PC-Steam)-Full Tourney,GGACPR - SA/SUD - (PC-Steam),Full Tourney,https://youtu.be/LxSi47bfxIA
GGACPR - SEA - (PC-Steam)-Full Tourney,GGACPR - SEA - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=MnqLMemAifg&ab_channel=AirdasherSEA
GGST - JP - (PC-Steam)-Full Tourney,GGST - JP - (PC-Steam),Full Tourney,https://youtu.be/LrRqX_s7TKM
GGST - SA/BR - (PC-Steam)-Full Tourney,GGST - SA/BR - (PC-Steam),Full Tourney,https://youtu.be/UZw7fF-PH1g
GGST - SA/SUD - (PC-Steam)-Full Tourney,GGST - SA/SUD - (PC-Steam),Full Tourney,https://youtu.be/zhuJlCeG7NY
GGXRD - EU - (PC-Steam)-Top 24,GGXRD - EU - (PC-Steam),Top 24,https://youtu.be/kZaM_FlqZVg
GGXRD - OCE - (PC-Steam)-Full Tourney,GGXRD - OCE - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=E9paMNCQTAI
GGXRD - SA/SUD - (PC-Steam)-Full Tourney,GGXRD - SA/SUD - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=4T6Hpj-gHkI
GOF2 - ALL - (PC)-Full Tourney,GOF2 - ALL - (PC),Full Tourney,https://youtu.be/r-3cpt5a5ks
HFTF - NA - (PC-Fightcade)-Full Tourney,HFTF - NA - (PC-Fightcade),Full Tourney,https://youtu.be/nTXq5q6ann8
JCFF - ALL - (PC-Fightcade)-Full Tourney,JCFF - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/8IOK3Ga74fM
JCFF - ALL - (PC-Fightcade)-Full Tourney,JCFF - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/8IOK3Ga74fM
JJBAASBR - NA - (PC-Parsec)-Full Tourney,JJBAASBR - NA - (PC-Parsec),Full Tourney,https://www.youtube.com/watch?v=zbwytMATv2Q
KLK - NA+SA - (PC-Steam)-Top 8,KLK - NA+SA - (PC-Steam),Top 8,"https://www.twitch.tv/videos/1755780826 Part 1
https://www.twitch.tv/videos/1755879719 Part 2"
KOF2003 - ALL - (PC-Fightcade)-Full Tourney,KOF2003 - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=-kdNyfY2qAs
KOFXV - NA - (PC-Steam)-Full Tourney,KOFXV - NA - (PC-Steam),Full Tourney,"Pools to Top 4: https://youtu.be/q7Y6VARYs2Y
Top 4: https://youtu.be/Ss_bh-PotJQ"
KOIHIME - SA/BR - (PC-Steam)-Full Tourney,KOIHIME - SA/BR - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=06mzyGAAEgA
LAND - ALL - (PC-Fightcade)-Full Tourney,LAND - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=kFmXL2fD4iA
LLB - ALL - (PC-Steam)-Full Tourney,LLB - ALL - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=Hy6a97ux8Zw
MajSoul - ALL - (PC)-Pools,MajSoul - ALL - (PC),Pools,"https://www.twitch.tv/videos/1735824435
https://www.twitch.tv/videos/1735825158"
MajSoul - ALL - (PC)-Top 32,MajSoul - ALL - (PC),Top 32,"https://www.twitch.tv/videos/1743950855
https://www.twitch.tv/videos/1743951923"
MBAACC - LAN - (PC-Caster)-Full Tourney,MBAACC - LAN - (PC-Caster),Full Tourney,https://youtu.be/uaItHkfceD4
MBAACC - NA - (PC-Caster)-Full Tourney,MBAACC - NA - (PC-Caster),Full Tourney,"Pools to Top 4: https://youtu.be/q7Y6VARYs2Y
Top 4: https://youtu.be/Ss_bh-PotJQ"
MBAACC - SA/BR - (PC-Caster)-Full Tourney,MBAACC - SA/BR - (PC-Caster),Full Tourney,https://youtu.be/NEBayoqn1oc
MBAACC - SA/SUD - (PC-Caster)-Top 8,MBAACC - SA/SUD - (PC-Caster),Top 8,https://www.youtube.com/watch?v=ZnxmA-nCsmM
MBAACC - SEA - (PC-Caster)-Full Tourney,MBAACC - SEA - (PC-Caster),Full Tourney,https://www.youtube.com/watch?v=DsHgx_r1l_k&ab_channel=AirdasherSEA
MBON - NA - (PS4)-Full Tourney,MBON - NA - (PS4),Full Tourney,https://youtu.be/SX9gV7yiDyw
MBTL - LAN - (PC-Steam)-Full Tourney,MBTL - LAN - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=0xIZr8epaLs
MBTL - NA - (PC-Steam)-Full Tourney,MBTL - NA - (PC-Steam),Full Tourney,https://youtu.be/TDNMGLDc4k0
MBTL - OCE - (PC-Steam)-Full Tourney,MBTL - OCE - (PC-Steam),Full Tourney,https://youtu.be/AJaByfQkhGY
MBTL - SA/BR - (PC-Steam)-Full Tourney,MBTL - SA/BR - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=GcJPZS_Wpv0&ab_channel=ReverseBeatBrasil
MBTL - SA/BR - (PC-Steam)-Full Tourney,MBTL - SA/BR - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=GcJPZS_Wpv0
MBTL - SA/SUD - (PC-Steam)-Top 12,MBTL - SA/SUD - (PC-Steam),Top 12,https://www.youtube.com/watch?v=_HdUvkOayj0
MBTL - SEA - (PC-Steam)-Full Tourney,MBTL - SEA - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1746691628
MM - ALL - (PC-Fightcade)-Top 8,MM - ALL - (PC-Fightcade),Top 8,https://www.youtube.com/watch?v=Xv5NL_w9EoY
MOTW - EU - (PC-Fightcade)-Top 8,MOTW - EU - (PC-Fightcade),Top 8,https://youtu.be/B62GjSDuR_U
MOTW - NA - (PC-Fightcade)-Full Tourney,MOTW - NA - (PC-Fightcade),Full Tourney,https://youtu.be/hxL756zKfuA
MOTW - SA/BR - (PC-Fightcade)-Full Tourney,MOTW - SA/BR - (PC-Fightcade),Full Tourney,https://youtu.be/HrMqRmFLAps
NASB - NA - (PC-Steam)-Full Tourney,NASB - NA - (PC-Steam),Full Tourney,https://www.twitch.tv/blackimar64/video/1763761077
NTM - ALL - (PC-Fightcade)-Full Tourney,NTM - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/jeDC5VoB2mg
P4U2 - NA+EU - (PC-Steam)-Full Tourney,P4U2 - NA+EU - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1735744111
P4U2 - NA+JP - (PS4)-Full Tourney,P4U2 - NA+JP - (PS4),Full Tourney,"https://youtu.be/7G7Q3-F4J0g

https://youtu.be/4OTj50HVgJQ"
P4U2 - OCE - (PC-Steam)-Full Tourney,P4U2 - OCE - (PC-Steam),Full Tourney,https://youtu.be/Zir6MCi4WGk
P4U2 - SA/SUD - (PC-Steam)-Pools,P4U2 - SA/SUD - (PC-Steam),Pools,https://www.youtube.com/watch?v=NnHY0ZDFoMc
PBO - ALL - (PC-Steam)-Full Tourney,PBO - ALL - (PC-Steam),Full Tourney,https://youtu.be/KHksNALyN2Y
PBO - JP - (PS4)-Full Tourney,PBO - JP - (PS4),Full Tourney,https://youtu.be/75GT8q3rubk
PBO - NA - (PC-Steam)-Full Tourney,PBO - NA - (PC-Steam),Full Tourney,https://youtu.be/oIncU2oA-U8
PJ - ALL - (PC-Fightcade)-Full Tourney,PJ - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=9bA189m97Ok
PPC - ALL - (PC-Steam)-Full Tourney,PPC - ALL - (PC-Steam),Full Tourney,https://youtu.be/Dj2Sq1WfjsA
PRBFTG - NA+EU+LAN - (PC-Steam)-Full Tourney,PRBFTG - NA+EU+LAN - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=-Rn2NTVbGZQ&t=793s
