Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
BBTAG - SA - (PC-Steam),SA,Blazblue Cross Tag Battle,<a href='https://youtu.be/zrYrdaB7Wxw'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-cross-tag-battle-sa/overview,Full Tourney,Sinho (@sinho737),Crocks,Shonko,Kreation (@Kreationxd)
BBTAG - SEA - (PC-Steam),SEA,Blazblue Cross Tag Battle,<a href='https://www.youtube.com/watch?v=a4yzvlllbBY&ab_channel=AirdasherSEA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-cross-tag-battle-sea-1/overview,Full Tourney,Asher (Ash3r96),WHH (@WHH_398),<b>ADSEA</b> | VGD,KujikawaLunasa (@FujiwaraLunasa)
DKG - NA+SA - (PC-Fightcade),"NA, SA",Dan-Ku-Ga,<a href='https://youtu.be/CQPspma7eYE'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dan-ku-ga-na-sa/overview,Full Tourney,ogcornflakes (@wackboicorn),MooMaster (@MooMasterFHD),Mibeador (@Mibeador),Max'D Out (@MaxDOutEX)
DOA5LR - JP - (PS4),JP,Dead Or Alive 5 Last Round,<a href='https://youtu.be/An0g-OxDKHA'>VOD</a>,https://tonamel.com/competition/edv1D,Full Tourney,輝Rock,ＡＫＡ,ひら,メロンゼリー
DOA6 - JP - (PS4),JP,Dead Or Alive 6,<a href='https://youtu.be/N4y_uqPb8VA'>VOD</a>,https://tonamel.com/competition/Bd5dy,Full Tourney,ずひこ,タクヤ,パン,ＡＫＡ
DFCI - NA - (PC),NA,Dengeki Bunko Fighting Climax Ignition,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dengeki-bunko-fighting-climax-ignition-na/overview,,Abister (@abister02),Level5-JeepChan (@Level5JeepChan),Tomuhawk (@NYC_Tomuhawk),The Spine (@TheSpine_)
DINO - ALL - (PC-Fightcade),ALL,Dino Rex,<a href='https://youtu.be/iL-HhDfMh5I'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dino-rex-global/overview,Full Tourney,PerfectOrange (@SpaceGhost246),"<b>Puzzle Wednesday</b> | Ratttz (@RatttzMessd), Mortiferum","Spabobin (@Spabobin), crossmirage (@kineticharvest)","<b>4</b> | Skuttie (@SkuttieG), <b>QCS</b> | ywy (@yowaikoi)"
DNFD - NA - (PC-Steam),NA,DNF Duel,"<a href='https://youtu.be/PR0_NQxEhMI'>VOD 1</a>, <a href='https://youtu.be/4J52ROZhJlo'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-na/overview,Full Tourney,tenuredthemule (@tenuredthemule),SonicSol (@sonic_sol),Anton (@StephenAntonnn),MegaDosage
DNFD - OCE - (PC-Steam),OCE,DNF Duel,<a href='https://youtu.be/sznnNJJNIV4'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-oce/overview,Full Tourney,BedlessSleeper,Runis,Larciel,Imp
DNFD - SA/BR - (PS4),BR,DNF Duel,<a href='https://www.youtube.com/watch?v=IKnkyNJANyo'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-br/overview,Full Tourney,<b>UA</b> | Nathan (@NathanIWN),<b>EC</b> | Shiiras (@Shiiras),Chip (@chip_dmg),<b>AGRO</b> | Amaterasu
DNFD - SEA - (PC-Steam),SEA,DNF Duel,<a href='https://www.youtube.com/watch?v=qxzdOK8ZqMc'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dnf-duel-sea/overview,Full Tourney,<b>ADSEA</b> | VGD,<b>Azure Wyvern</b> | Vrush (@AyyasyFiras),Tohloop (@AndrewOYK), UrRequiem
DD - NA+SA - (PC-Fightcade),"NA, SA",Double Dragon,<a href='https://www.twitch.tv/videos/1741313127'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/double-dragon-neo-geo-na-sa/overview,Full Tourney,MooMaster (@MooMasterFHD),ThotBusterNo1 (@ThotBusterNo1),Gyaru (@GarouGyaru),Ratttz (@RatttzMessd)
