Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,3,3,1,1,Disintegration,19274685,"Xavier Bailey",Disintegration,Disintegration,3,3,7,6
"Top 8",,1,8,8,2,2,"TxC | ViolentKain",19274688,"Rolando Neri","TxC | ViolentKain",ViolentKain,5,4,11,7
"Top 8",,1,1,1,3,3,LazieFreddy,19274682,"Frederick Ling",LazieFreddy,LazieFreddy,3,1,10,4
"Top 8",,1,7,7,4,4,incross,19274689,"Bruno Marques",incross,incross,3,2,6,4
"Top 8",,1,2,2,5,5,"TISB | BlueSkyGuy",19274683,"Alvin Jackson","TISB | BlueSkyGuy",BlueSkyGuy,2,0,0,0
"Top 8",,1,4,4,5,5,ChexGuy,19274684,"Jeremy Lim",ChexGuy,ChexGuy,2,0,4,0
"Top 8",,1,5,5,7,7,AkitoBass,19274686,"Akito Taylor",AkitoBass,AkitoBass,1,0,2,0
"Top 8",,1,6,6,7,7,Syn,19274687,"Anthony Souvannasing",Syn,Syn,1,0,2,0
