Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,4,4,1,1,Redraven,19118062,"Nahi Amine",Redraven,Redraven,3,3,10,7
"Top 8",,1,3,3,2,2,Megaman,19118061,"Azeddine Driouiche","H.M | Megaman",Megaman,4,2,12,7
"Top 8",,1,6,6,3,3,"Majeed Bogard",19118064,"Majeed Bogard","Majeed Bogard","Majeed Bogard",4,3,7,4
"Top 8",,1,2,2,4,4,Jemo,19118060,"Joey Prueller",Jemo,Jemo,3,1,7,3
"Top 8",,1,1,1,5,5,StiRik,19118059,,StiRik,StiRik,2,0,4,0
"Top 8",,1,8,8,5,5,"DoR | Antser",19118066,"Simon Kiefer","DoR | Antser",Antser,2,1,4,2
"Top 8",,1,5,5,7,7,"YUZU | MASTA",19118063,"Masta Popoulos","YUZU | MASTA",MASTA,1,0,2,0
"Top 8",,1,7,7,7,7,"MF Odin",19118065,"Mourad El garma","MF Odin","MF Odin",1,0,0,0
