Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Grand Finals",,1,1,1,1,1,Zygarde,19227832,"Zyg arde",Zygarde,Zygarde,3,3,4,3
"Grand Finals",,1,2,2,2,2,nissouma55,19227833,"somebody somewhere",nissouma55,nissouma55,4,2,4,1
"Grand Finals",,1,3,3,3,3,Gura,19227834,"Guy Pe'er",Gura,Gura,3,1,0,0
"Grand Finals",,1,4,4,4,4,GracideaField,19227835,"John Doe",GracideaField,GracideaField,2,0,0,0
