Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,2,2,1,1,"(Mr0z) | Testyourluck",19117966,"Jay Houle","(Mr0z) | Testyourluck",Testyourluck,3,3,11,9
"Top 8",,1,4,4,2,2,Myloo,19117968,"Alejandro Reyes",Myloo,Myloo,4,2,15,8
"Top 8",,1,3,3,3,3,Kurohitsugi,19117967,"Joseph Charpentier",Kurohitsugi,Kurohitsugi,4,2,16,7
"Top 8",,1,6,6,4,4,BlueHek997,19117970,"Lucas Silva",BlueHek997,BlueHek997,3,2,11,8
"Top 8",,1,1,1,5,5,Bdarka,19117965,"Kevin Slackie",Bdarka,Bdarka,2,0,6,0
"Top 8",,1,5,5,5,5,"CD Lime",19117969,"Liam Bernier","CD Lime","CD Lime",2,1,8,4
"Top 8",,1,7,7,7,7,"FF | ElvenShadow",19117971,"Mike Boczar","FF | ElvenShadow",ElvenShadow,1,0,3,0
"Top 8",,1,8,8,7,7,Freshman,19117972,,Freshman,Freshman,1,0,4,1
