Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,4,4,1,1,TortureFrag,19118039,"Cleber Cremonez",TortureFrag,TortureFrag,3,3,12,8
"Top 8",,1,1,1,2,2,"Venon Flow | Trema",19118036,"Jessé Willian","Venon Flow | Trema",Trema,5,3,15,9
"Top 8",,1,2,2,3,3,PLSX,19118037,"Phelipe Simões",PLSX,PLSX,3,1,11,4
"Top 8",,1,8,8,4,4,Sudano,19118043,"Gabriel Ferreira",Sudano,Sudano,3,2,9,5
"Top 8",,1,3,3,5,5,"KMT | FKang",19118038,"Eric Eun Ho Kang","KMT | FKang",FKang,2,0,6,2
"Top 8",,1,7,7,5,5,"KMT | RaT3X",19118042,"danilo ribeiro","KMT | RaT3X",RaT3X,2,1,4,2
"Top 8",,1,5,5,7,7,Beowulf,19118040,"Renato Ferraz",Beowulf,Beowulf,1,0,3,1
"Top 8",,1,6,6,7,7,"AdK GDG | Desgraçado da Corrente",19118041,"Guilherme Araújo","AdK GDG | Desgraçado da Corrente","Desgraçado da Corrente",1,0,2,0
