Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,5,5,1,1,Rang13,19095910,"Raphaell Alves",Rang13,Rang13,6,6,25,18
"Top 8",,1,2,2,2,2,tms,19095907,"Thiago da Cunha Menezes Souza",tms,tms,4,2,17,10
"Top 8",,1,4,4,3,3,Abbysairaf,19095908,"Abner Farias",Abbysairaf,Abbysairaf,3,1,11,5
"Top 8",,1,7,7,4,4,PLSX,19095913,"Phelipe Simões",PLSX,PLSX,3,2,12,7
"Top 8",,1,1,1,5,5,"Alma Negra",19095906,,"Alma Negra","Alma Negra",2,0,8,2
"Top 8",,1,3,3,5,5,DarkHero,19095909,"JOAO VITOR OLIVEIRA",DarkHero,DarkHero,2,0,7,1
"Top 8",,1,6,6,7,7,"CNTR | zLeech7",19095911,"Victor Fernandes Domingues","CNTR | zLeech7",zLeech7,1,0,3,0
"Top 8",,1,8,8,7,7,diew,19095912,"diew dio",diew,diew,1,0,3,0
