Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,2,2,1,1,R.PunK,19118046,"Luis Droguett",R.PunK,R.PunK,3,3,12,8
"Top 8",,1,1,1,2,2,"NEM GO | Whip",19118045,"Luis Enrique Paucar López","NEM GO | Whip",Whip,4,2,15,9
"Top 8",,1,4,4,3,3,"ON SDX | Tortita",19118048,"Paulo Sandoval","ON SDX | Tortita",Tortita,4,2,11,4
"Top 8",,1,3,3,4,4,"Bloody Hit | r0nsv41n",19118047,"Ron Svain","Bloody Hit | r0nsv41n",r0nsv41n,3,1,7,3
"Top 8",,1,5,5,5,5,Toblipa,19118049,"pablo alan muñoz huerta","LV/NEM | Toblipa",Toblipa,2,1,5,2
"Top 8",,1,7,7,5,5,manciano,19118051,"Miguel Tello",manciano,manciano,2,1,6,3
"Top 8",,1,6,6,7,7,"LV | -KIN",19118050,"Jose Berrios","LV | -KIN",-KIN,1,0,3,1
"Top 8",,1,8,8,7,7,"LV | Rigosam",19118052,"Luis Peñaloza","LV | Rigosam",Rigosam,1,0,3,1
