Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,2,2,1,1,Huhx,19117976,,Huhx,Huhx,3,3,10,8
"Top 8",,1,5,5,2,2,"DTC | Tetora",19117979,"Jason Nuryadin","DTC | Tetora",Tetora,5,4,13,9
"Top 8",,1,4,4,3,3,"InC | D.R. Fierce",19117978,"Farouk Alshahab","InC | D.R. Fierce","D.R. Fierce",3,1,11,4
"Top 8",,1,7,7,4,4,Erin,19117981,"Erin Roque",Erin,Erin,3,2,7,4
"Top 8",,1,1,1,5,5,Asher,19117975,"Ashley Seek",Asher,Asher,2,0,6,2
"Top 8",,1,3,3,5,5,PKayNC,19117977,"Chalmers Tan",PKayNC,PKayNC,2,0,5,1
"Top 8",,1,6,6,7,7,Newo,19117980,"owen estorco",Newo,Newo,1,0,2,0
"Top 8",,1,8,8,7,7,Laffyy,19117982,"Kenzo Llave",Laffyy,Laffyy,1,0,2,0
