Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,1,1,1,1,"RSG | Seo",19118019,"Nicholas Choo","RSG | Seo",Seo,4,3,16,10
"Top 8",,1,4,4,2,2,Psychrosis,19118022,"Jeremy Molines",Psychrosis,Psychrosis,6,4,23,14
"Top 8",,1,2,2,3,3,Zeidge,19118020,,Zeidge,Zeidge,3,1,12,4
"Top 8",,1,8,8,4,4,Nas-Philippines,19118026,"johnasis kalugdan",Nas-Philippines,Nas-Philippines,3,2,11,8
"Top 8",,1,3,3,5,5,Gilgy,19118021,,Gilgy,Gilgy,2,0,8,2
"Top 8",,1,6,6,5,5,Minimals,19118024,"Ryan Law",Minimals,Minimals,2,1,8,3
"Top 8",,1,5,5,7,7,FruitPunchSamurai,19118023,"Kyaw Khin",FruitPunchSamurai,FruitPunchSamurai,1,0,3,0
"Top 8",,1,7,7,7,7,"TALON | Book",19118025,"Nopparut Hempamorn","TALON | Book",Book,1,0,5,2
