Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,2,2,1,1,Redhydra,19118008,,Redhydra,Redhydra,6,5,16,10
"Top 8",,1,3,3,2,2,"HFTF BR | Light Speed Lucas",19118009,"Lucas Martins","HFTF BR | Light Speed Lucas","Light Speed Lucas",4,2,15,7
"Top 8",,1,1,1,3,3,Shao,19118007,"Pedro Henrique",Shao,Shao,3,1,8,4
"Top 8",,1,6,6,4,4,Jorjão,19118012,"Jorge Paiva Pinheiro",Jorjão,Jorjão,3,2,8,5
"Top 8",,1,4,4,5,5,Augustop,19118010,"Augusto P.",Augustop,Augustop,2,0,6,2
"Top 8",,1,5,5,5,5,Acido,19118011,"Andre Alves",Acido,Acido,2,1,6,3
"Top 8",,1,7,7,7,7,Cristu,19118013,"CRISTOPHER VIDOR",Cristu,Cristu,1,0,2,0
"Top 8",,1,8,8,7,7,DesertMonkey,19118014,,DesertMonkey,DesertMonkey,1,0,3,1
