Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,2,2,1,1,"IM@S | Lunar",19117984,"T H","IM@S | Lunar",Lunar,3,3,9,8
"Top 8",,1,3,3,2,2,jasepi,19117985,"Guiseppe Zielinski",jasepi,jasepi,5,3,14,8
"Top 8",,1,1,1,3,3,"Sussy | Lucy",19117983,"James Jablonski","Sussy | Lucy",Lucy,3,1,10,3
"Top 8",,1,4,4,4,4,FaultySticks,19117986,"Kenric Edwards",FaultySticks,FaultySticks,3,1,7,3
"Top 8",,1,5,5,5,5,BBoySonicX,19117987,"Ronald Murray",BBoySonicX,BBoySonicX,2,1,4,2
"Top 8",,1,6,6,5,5,ShinyEspeon,19117988,"Ricardo Munoz",ShinyEspeon,ShinyEspeon,2,1,4,2
"Top 8",,1,7,7,7,7,YoshiFTW,19117989,"Aron Yim",YoshiFTW,YoshiFTW,1,0,2,0
"Top 8",,1,8,8,7,7,"PS! | Flox",19117990,"Felix Matt","PS! | Flox",Flox,1,0,2,0
