Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
"Top 8",,1,1,1,1,1,"Bloody Hit | Blackbas",19117992,"Bastian Cortez","Bloody Hit | Blackbas",Blackbas,3,3,11,8
"Top 8",,1,3,3,2,2,"Aracne | VermiCL",19117994,"Sergio Olivares","Aracne | VermiCL",VermiCL,4,2,16,7
"Top 8",,1,2,2,3,3,"HVS | Koco",19117993,"Rodrigo Gómez","HVS | Koco",Koco,4,2,12,7
"Top 8",,1,4,4,4,4,Haya,19117995,,Haya,Haya,3,1,7,3
"Top 8",,1,7,7,5,5,"T E N G U | Beffen",19117998,"andrés gonzález","T E N G U | Beffen",Beffen,2,1,4,2
"Top 8",,1,8,8,5,5,"VFC | PyroNacho",19117999,"Ignacio Martin","VFC | PyroNacho",PyroNacho,2,1,4,2
"Top 8",,1,5,5,7,7,Ajosac96,19117996,"Aaron Sánchez Campos",Ajosac96,Ajosac96,1,0,2,0
"Top 8",,1,6,6,7,7,"Aracne| Chuckistico",19117997,"Pablo Moya","Aracne| Chuckistico","Aracne| Chuckistico",1,0,2,0
